show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s8,movie,sankofa,haile gerima,"kofi ghanaba, oyafunmike ogunlano, alexandra duah, nick medley, mutabaruka, afemo omilami, reggie carter, mzuri","United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",2021-09-24,1993,tv-ma,125,"dramas, independent movies, international movies","on a photo shoot in ghana, an american model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past."
s9,tv show,the great british baking show,andy devonshire,"mel giedroyc, sue perkins, mary berry, paul hollywood",United Kingdom,2021-09-24,2021,tv-14,9,"british tv shows, reality tv","a talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the u.k.'s best."
s10,movie,the starling,theodore melfi,"melissa mccarthy, chris o'dowd, kevin kline, timothy olyphant, daveed diggs, skyler gisondo, laura harrier, rosalind chao, kimberly quinn, loretta devine, ravi kapoor",United States,2021-09-24,2021,pg-13,104,"comedies, dramas",a woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.
s13,movie,je suis karl,christian schwochow,"luna wedler, jannis niewöhner, milan peschel, edin hasanović, anna fialová, marlon boess, victor boccard, fleur geffrier, aziz dyab, mélanie fouché, elizaveta maximová","Germany, Czech Republic",2021-09-23,2021,tv-ma,127,"dramas, international movies","after most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them."
s25,movie,jeans,s. shankar,"prashanth, aishwarya rai bachchan, sri lakshmi, nassar",India,2021-09-21,1998,tv-14,166,"comedies, international movies, romantic movies","when the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing."
s28,movie,grown ups,dennis dugan,"adam sandler, kevin james, chris rock, david spade, rob schneider, salma hayek, maria bello, maya rudolph, colin quinn, tim meadows, joyce van patten",United States,2021-09-20,2010,pg-13,103,comedies,"mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid."
s29,movie,dark skies,scott stewart,"keri russell, josh hamilton, j.k. simmons, dakota goyo, kadan rockett, l.j. benet, rich hutchman, myndy crist, annie thurman, jake brennan",United States,2021-09-19,2013,pg-13,97,"horror movies, sci-fi & fantasy","a family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat."
s30,movie,paranoia,robert luketic,"liam hemsworth, gary oldman, amber heard, harrison ford, lucas till, embeth davidtz, julian mcmahon, josh holloway, richard dreyfuss, angela sarafyan","United States, India, France",2021-09-19,2013,pg-13,106,thrillers,"blackmailed by his company's ceo, a low-level employee finds himself forced to spy on the boss's rival and former mentor."
s39,movie,birth of the dragon,george nolfi,"billy magnussen, ron yuan, qu jingjing, terry chen, vanness wu, jin xing, philip ng, xia yu, yu xia","China, Canada, United States",2021-09-16,2017,pg-13,96,"action & adventure, dramas","a young bruce lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a shaolin master in this film based on real events."
s42,movie,jaws,steven spielberg,"roy scheider, robert shaw, richard dreyfuss, lorraine gary, murray hamilton, carl gottlieb, jeffrey kramer, susan backlinie, jonathan filley, ted grossman",United States,2021-09-16,1975,pg,124,"action & adventure, classic movies, dramas","when an insatiable great white shark terrorizes amity island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast."
s43,movie,jaws 2,jeannot szwarc,"roy scheider, lorraine gary, murray hamilton, joseph mascolo, jeffrey kramer, collin wilcox paxton, ann dusenberry, mark gruner, barry coe, susan french",United States,2021-09-16,1978,pg,116,"dramas, horror movies, thrillers","four years after the last deadly shark attacks, police chief martin brody fights to protect amity island from another killer great white."
s44,movie,jaws 3,joe alves,"dennis quaid, bess armstrong, simon maccorkindale, louis gossett jr., john putch, lea thompson, p.h. moriarty, dan blasko, liz morris, lisa maurer",United States,2021-09-16,1983,pg,98,"action & adventure, horror movies, thrillers","after the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood."
s45,movie,jaws: the revenge,joseph sargent,"lorraine gary, lance guest, mario van peebles, karen young, michael caine, judith barsi, mitchell anderson, lynn whitfield",United States,2021-09-16,1987,pg-13,91,"action & adventure, horror movies, thrillers","after another deadly shark attack, ellen brody has had enough of amity island and moves to the caribbean – but a great white shark follows her there."
s47,movie,safe house,daniel espinosa,"denzel washington, ryan reynolds, vera farmiga, brendan gleeson, sam shepard, rubén blades, nora arnezeder, robert patrick, liam cunningham, joel kinnaman","South Africa, United States, Japan",2021-09-16,2012,r,115,action & adventure,young cia operative matt weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.
s49,movie,training day,antoine fuqua,"denzel washington, ethan hawke, scott glenn, tom berenger, harris yulin, raymond j. barry, cliff curtis, dr. dre, snoop dogg, macy gray, eva mendes",United States,2021-09-16,2001,r,122,"dramas, thrillers",a rookie cop with one day to prove himself to a veteran lapd narcotics officer receives a crash course in his mentor's questionable brand of justice.
s52,movie,inuyasha the movie 2: the castle beyond the looking glass,toshiya shinohara,"kappei yamaguchi, satsuki yukino, mieko harada, koji tsujitani, houko kuwashima, kumiko watanabe, noriko hidaka, kenichi ogata, toshiyuki morikawa, izumi ogami",Japan,2021-09-15,2002,tv-14,99,"action & adventure, anime features, international movies","with their biggest foe seemingly defeated, inuyasha and his friends return to everyday life. but the peace is soon shattered by an emerging new enemy."
s53,movie,inuyasha the movie 3: swords of an honorable ruler,toshiya shinohara,"kappei yamaguchi, satsuki yukino, koji tsujitani, houko kuwashima, kumiko watanabe, ken narita, akio otsuka, kikuko inoue",Japan,2021-09-15,2003,tv-14,99,"action & adventure, anime features, international movies",the great dog demon beaqueathed one of the three swords of the fang to each of his two sons. now the evil power of the third sword has been awakened.
s54,movie,inuyasha the movie 4: fire on the mystic island,toshiya shinohara,"kappei yamaguchi, satsuki yukino, koji tsujitani, houko kuwashima, kumiko watanabe, noriko hidaka, ken narita, cho, mamiko noto, nobutoshi canna",Japan,2021-09-15,2004,tv-pg,88,"action & adventure, anime features, international movies","ai, a young half-demon who has escaped from horai island to try to help her people, returns with potential saviors inuyasha, sesshomaru and kikyo."
s55,movie,inuyasha the movie: affections touching across time,toshiya shinohara,"kappei yamaguchi, satsuki yukino, koji tsujitani, houko kuwashima, kumiko watanabe, kenichi ogata, noriko hidaka, hisako kyoda, ken narita, tomokazu seki",Japan,2021-09-15,2001,tv-pg,100,"action & adventure, anime features, international movies","a powerful demon has been sealed away for 200 years. but when the demon's son is awakened, the fate of the world is in jeopardy."
s57,movie,naruto shippuden the movie: blood prison,masahiko murata,"junko takeuchi, chie nakamura, rikiya koyama, kazuhiko inoue, masaki terasoma, mie sonozaki, yuichi nakamura, kengo kawanishi, kosei hirota, masako katsuki",Japan,2021-09-15,2011,tv-14,102,"action & adventure, anime features, international movies","mistakenly accused of an attack on the fourth raikage, ninja naruto is imprisoned in the impenetrable hozuki castle and his powers are sealed."
s58,movie,naruto shippûden the movie: bonds,hajime kamegaki,"junko takeuchi, chie nakamura, noriaki sugiyama, unsho ishizuka, motoko kumai, kazuhiko inoue, rikiya koyama, showtaro morikubo, nana mizuki, satoshi hino, shinji kawada",Japan,2021-09-15,2008,tv-pg,93,"action & adventure, anime features, international movies","when strange ninjas ambush the village of konohagakure, it's up to adolescent ninja naruto and his long-missing pal, sasuke, to save the planet."
s59,movie,naruto shippûden the movie: the will of fire,masahiko murata,"junko takeuchi, chie nakamura, kazuhiko inoue, satoshi hino, showtaro morikubo, kentaro ito, ryoka yuzuki, kohsuke toriumi, nana mizuki, shinji kawada, yoichi masukawa, koichi tochika, yukari tamura",Japan,2021-09-15,2009,tv-pg,96,"action & adventure, anime features, international movies","when four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land."
s60,movie,naruto shippuden: the movie,hajime kamegaki,"junko takeuchi, chie nakamura, yoichi masukawa, koichi tochika, ayumi fujimura, keisuke oda, daisuke kishio, fumiko orikasa, hidetoshi nakamura, tetsuya kakihara, kisho taniyama, miyuki sawashiro, katsuyuki konishi, masako katsuki, keiko nemoto, masashi ebara, kazuhiko inoue, showtaro morikubo, romi park, daisuke ono, seizo kato",Japan,2021-09-15,2007,tv-pg,95,"action & adventure, anime features, international movies","the adventures of adolescent ninja naruto uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die."
s61,movie,naruto shippuden: the movie: the lost tower,masahiko murata,"junko takeuchi, chie nakamura, satoshi hino, rikiya koyama, nobuaki fukuda, kenji hamada, keiko nemoto, saori hayami, yumi toma, yuko kobayashi, fujiko takimoto, mutsumi tamura, mayuki makiguchi, toshiyuki morikawa",Japan,2021-09-15,2010,tv-14,85,"action & adventure, anime features, international movies","when naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil."
s62,movie,naruto the movie 2: legend of the stone of gelel,hirotsugu kawasaki,"junko takeuchi, gamon kaai, chie nakamura, showtaro morikubo, akira ishida, yasuyuki kase, urara takano, sachiko kojima, houko kuwashima, takako honda",Japan,2021-09-15,2005,tv-pg,97,"action & adventure, anime features, international movies","while on a mission to return a missing pet, naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic temujin."
s63,movie,naruto the movie 3: guardians of the crescent moon kingdom,toshiyuki tsuru,"junko takeuchi, chie nakamura, yoichi masukawa, kazuhiko inoue, akio otsuka, kyousuke ikeda, marika hayashi, umeji sasaki, masashi sugawara, hisao egawa",Japan,2021-09-15,2006,tv-pg,95,"action & adventure, anime features, international movies","exuberant ninja naruto teams up with his pals sakura and kakashi to escort prince michiru and his son, hikaru, to the crescent moon kingdom."
s64,movie,naruto the movie: ninja clash in the land of snow,tensai okamura,"junko takeuchi, noriaki sugiyama, chie nakamura, kazuhiko inoue, yuhko kaida, tsutomu isobe, hirotaka suzuoki, jun karasawa, harii kaneko, ikuo nishikawa",Japan,2021-09-15,2004,tv-pg,83,"action & adventure, anime features, international movies","naruto, sasuke and sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess."
s74,movie,king of boys,kemi adetiba,"sola sobowale, adesua etomi, remilekun ""reminisce"" safaru, tobechukwu ""illbliss"" ejiofor, toni tones, paul sambo, jide kosoko, sharon ooja",Nigeria,2021-09-14,2018,tv-ma,182,"dramas, international movies","when a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything."
s82,movie,kate,cedric nicolas-troyan,"mary elizabeth winstead, jun kunimura, woody harrelson, tadanobu asano, miyavi, michiel huisman, miku martineau",United States,2021-09-10,2021,r,106,action & adventure,"slipped a fatal poison on her final job, a ruthless assassin working in tokyo has less than 24 hours to find out who ordered the hit and exact revenge."
s85,movie,omo ghetto: the saga,"jjc skillz, funke akindele","funke akindele, ayo makun, chioma chukwuka akpotha, yemi eberechi alade, blossom chukwujekwu, deyemi okanlawon, alexx ekubo, zubby michael, tina mba, femi jacobs",Nigeria,2021-09-10,2020,tv-ma,147,"action & adventure, comedies, dramas","twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them."
s91,movie,paradise hills,alice waddington,"emma roberts, danielle macdonald, awkwafina, eiza gonzález, milla jovovich, jeremy irvine, arnaud valois, daniel horvath","Spain, United States",2021-09-09,2019,tv-ma,95,"sci-fi & fantasy, thrillers","uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies. that’s bad enough, but its real purpose is even worse."
s95,movie,show dogs,raja gosnell,"will arnett, ludacris, natasha lyonne, stanley tucci, jordin sparks, gabriel iglesias, shaquille o'neal, omar chaparro, alan cumming, andy beckwith, delia sheppard, kerry shale","United Kingdom, United States",2021-09-08,2018,pg,90,"children & family movies, comedies",a rough and tough police dog must go undercover with an fbi agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale.
s97,movie,if i leave here tomorrow: a film about lynyrd skynyrd,stephen kijak,"ronnie van zandt, gary rossington, allen collins, leon wilkeson, bob burns, billy powell, ed king, artimus pyle, steve gaines, johnny van zant",United States,2021-09-07,2018,tv-ma,97,"documentaries, music & musicals","using interviews and archival footage, this documentary charts the story of the legendary southern rockers with a focus on front man ronnie van zant."
s106,movie,angamaly diaries,lijo jose pellissery,"antony varghese, reshma rajan, binny rinky benjamin, vineeth vishwam, kichu tellus, sreekanth dasan, sarath kumar, tito wilson, anandhu, bitto davis, sinoj varghese",India,2021-09-05,2017,tv-14,128,"action & adventure, comedies, dramas","after growing up amidst the gang wars of his hometown, vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law."
s108,movie,a champion heart,david de vos,"mandy grace, david de vos, donna rusch, devan key, isabella mancuso, ariana guido",United States,2021-09-04,2018,g,90,"children & family movies, dramas","when a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected."
s115,movie,anjaam,rahul rawail,"madhuri dixit, shah rukh khan, tinnu anand, johny lever, kalpana iyer, himani shivpuri, sudha chandran, beena, kiran kumar",India,2021-09-02,1994,tv-14,143,"dramas, international movies, thrillers","a wealthy industrialist’s dangerous obsession with a flight attendant destroys her world, until she takes matters into her own hands to exact revenge."
s116,movie,bright star,jane campion,"abbie cornish, ben whishaw, paul schneider, kerry fox, edie martin, thomas brodie-sangster, claudie blakley, gerard monaco, antonia campbell-hughes, samuel roukin","United Kingdom, Australia, France",2021-09-02,2009,pg,119,"dramas, romantic movies",this drama details the passionate three-year romance between romantic poet john keats – who died tragically at age 25 – and his great love and muse.
s117,movie,dhanak,nagesh kukunoor,"krrish chhabria, hetal gada, vipin sharma, gulfam khan, suresh menon, vijay maurya, rajiv lakshman, ninad kamat",India,2021-09-02,2015,tv-pg,114,"comedies, dramas, independent movies",a movie-loving 10-year-old and her blind little brother trek to meet indian superstar shah rukh khan for help in getting the boy an eye operation.
s119,movie,gurgaon,shanker raman,"akshay oberoi, pankaj tripathi, ragini khanna, aamir bashir, shalini vatsa, ashish verma",India,2021-09-02,2017,tv-14,106,"dramas, international movies, thrillers","when the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems – and plans – of his own."
s123,movie,in the cut,jane campion,"meg ryan, mark ruffalo, jennifer jason leigh, nick damici, sharrieff pugh, kevin bacon, yaani king mondschein, heather litteer","United Kingdom, Australia, France, United States",2021-09-02,2003,r,118,thrillers,"after embarking on an affair with the cop probing the murder of a young woman, an insular schoolteacher suspects her lover was involved in the crime."
s127,movie,shikara,vidhu vinod chopra,"aadil khan, sadia khateeb, zain khan durrani, priyanshu chatterjee, bhavna chauhan, ashwin dhar, farid azad khan, saghar sehrai",India,2021-09-02,2020,tv-14,115,"dramas, international movies, romantic movies",a couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp.
s128,movie,a cinderella story,mark rosman,"hilary duff, chad michael murray, jennifer coolidge, dan byrd, regina king, julie gonzalo, lin shaye, madeline zima, andrea avery, mary pat gleason, paul rodriguez, whip hubley, kevin kilner, erica hubbard, simon helberg","United States, Canada",2021-09-01,2004,pg,95,"children & family movies, comedies",teen sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. can her lost cell phone bring them together?
s130,movie,an unfinished life,lasse hallström,"robert redford, jennifer lopez, morgan freeman, josh lucas, damian lewis, camryn manheim, becca gardner, lynda boyd, rob hayter, p. lynn johnson","Germany, United States",2021-09-01,2005,pg-13,108,dramas,"a grieving widow and her daughter move in with her estranged father-in-law in wyoming, where time allows them to heal and forgive."
s132,movie,blade runner: the final cut,ridley scott,"harrison ford, rutger hauer, sean young, edward james olmos, m. emmet walsh, daryl hannah, william sanderson, brion james, joe turkel, joanna cassidy, james hong, morgan paull",United States,2021-09-01,1982,r,117,"action & adventure, classic movies, cult movies","in a smog-choked dystopian los angeles, blade runner rick deckard is called out of retirement to snuff a quartet of escaped ""replicants."""
s134,movie,chappie,neill blomkamp,"sharlto copley, hugh jackman, sigourney weaver, dev patel, ninja, yo-landi visser, jose pablo cantillo, brandon auret, johnny selema, maurice carpede","South Africa, United States",2021-09-01,2015,r,121,"action & adventure, sci-fi & fantasy","in a futuristic society where an indestructible robot police force keeps crime at bay, a lone droid evolves to the next level of artificial intelligence."
s135,movie,clear and present danger,phillip noyce,"harrison ford, willem dafoe, anne archer, joaquim de almeida, henry czerny, harris yulin, donald moffat, miguel sandoval, benjamin bratt, dean jones, thora birch, james earl jones, raymond cruz","United States, Mexico",2021-09-01,1994,pg-13,142,"action & adventure, dramas","when the president's friend is murdered, cia deputy director jack ryan becomes unwittingly involved in an illegal war against a colombian drug cartel."
s136,movie,cliffhanger,renny harlin,"sylvester stallone, john lithgow, michael rooker, janine turner, rex linn, caroline goodall, leon, craig fairbrass, ralph waite, max perlich, paul winfield","United States, Italy, France, Japan",2021-09-01,1993,r,113,action & adventure,"ranger gabe walker and his partner are called to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers."
s137,movie,cold mountain,anthony minghella,"jude law, nicole kidman, renée zellweger, eileen atkins, brendan gleeson, philip seymour hoffman, natalie portman, giovanni ribisi, donald sutherland, ray winstone","United States, Italy, Romania, United Kingdom",2021-09-01,2003,r,154,"dramas, romantic movies","this drama follows a wounded civil war soldier making the long journey home, while his faraway love fights for survival on her deceased father's farm."
s138,movie,crocodile dundee in los angeles,simon wincer,"paul hogan, linda kozlowski, jere burns, jonathan banks, aida turturro, alec wilson, gerry skilton, steve rackman, serge cockburn, paul rodriguez, mark adair-rios, tiriel mora, grant piro, mike tyson","Australia, United States",2021-09-01,2001,pg,95,"action & adventure, comedies","when mick ""crocodile"" dundee and his family land in los angeles, they soon learn some lessons about american life in this comedy sequel."
s139,movie,dear john,lasse hallström,"channing tatum, amanda seyfried, richard jenkins, henry thomas, d.j. cotrona, cullen moss, gavin mcculley, jose lucena jr., keith robinson, scott porter",United States,2021-09-01,2010,pg-13,108,"dramas, romantic movies","while on summer leave, a u.s. soldier falls for a college student. but when he's forced to reenlist, their handwritten letters hold the lovers together."
s140,movie,do the right thing,spike lee,"danny aiello, ossie davis, ruby dee, richard edson, giancarlo esposito, spike lee, bill nunn, john turturro, paul benjamin, frankie faison, samuel l. jackson, rosie perez, martin lawrence, miguel sandoval",United States,2021-09-01,1989,r,120,"classic movies, comedies, dramas","on a sweltering day in brooklyn, simmering racial tensions between residents rise to the surface and ignite rage, violence and tragedy."
s141,movie,"el patrón, radiografía de un crimen",sebastián schindel,"joaquín furriel, luis ziembrowski, guillermo pfening, mónica lairana, germán de silva, victoria raposo, andrea garrote","Argentina, Venezuela",2021-09-01,2014,tv-ma,100,"dramas, international movies, thrillers",a lawyer defends an illiterate man whose exploitation by a cruel boss while working as a butcher in buenos aires led to tragedy. based on a true case.
s142,movie,extraction,steven c. miller,"bruce willis, kellan lutz, gina carano, d.b. sweeney, joshua mikel, steve coulter, dan bilzerian, heather johansen","United States, United Kingdom, Canada",2021-09-01,2015,r,82,action & adventure,"when a retired cia agent is kidnapped, his son, a government analyst, embarks on an unauthorized mission to find him and halt a terrorist plot."
s143,movie,freedom writers,richard lagravenese,"hilary swank, patrick dempsey, scott glenn, imelda staunton, april l. hernandez, mario, kristin herrera, jaclyn ngan, sergio montalvo, jason finn, deance wyatt, vanetta smith","Germany, United States",2021-09-01,2007,pg-13,124,dramas,"while her at-risk students are reading classics such as ""the diary of anne frank,"" a teacher asks them to keep journals about their troubled lives."
s144,movie,green lantern,martin campbell,"ryan reynolds, blake lively, peter sarsgaard, mark strong, tim robbins, jay o. sanders, taika waititi, angela bassett",United States,2021-09-01,2011,pg-13,114,"action & adventure, sci-fi & fantasy",test pilot hal jordan harnesses glowing new powers for good when he wears an otherworldly ring and helps an intergalactic force stop a powerful threat.
